Player,Unit,Rush_Att,Rush_Yds,Rush_TD,Rec,Rec_Yds,Rec_TD,Pass_Yds,Pass_TD,Tackles
"Raymond, Antwan",Offense,244,1241,13,18,225,2,0,0,0
"Benjamin, Ja'shon",Offense,68,328,2,4,19,0,0,0,0
"Campbell Jr., CJ",Offense,22,119,0,0,0,0,0,0,0
"Brown V, Samuel",Offense,16,38,0,0,0,0,0,0,0
"Guerrier, Edd",Offense,7,25,0,0,0,0,0,0,0
"Mitchell, Terrell",Offense,3,14,0,0,0,0,0,0,0
"Kaliakmanis, Athan",Offense,96,-26,4,0,0,0,3124,20,0
"Surace, AJ",Offense,2,-5,0,0,0,0,58,2,0
"Ashenfelder, Sean",Offense,1,-3,0,0,0,0,11,0,0
"Duff, KJ",Offense,0,0,0,60,1084,7,0,0,0
"Strong, Ian",Offense,0,0,0,52,762,5,0,0,1
"Sheffield, DT",Offense,0,0,0,44,577,5,0,0,0
"Fletcher Jr., Kenny",Offense,0,0,0,26,236,0,0,0,0
"Black, Ben",Special Teams,0,0,0,8,119,1,0,0,1
"Weber, Colin",Offense,0,0,0,17,102,0,0,0,1
"Thomas III, Michael",Offense,0,0,0,1,25,1,0,0,0
"Patel, Jai",Special Teams,1,-3,0,0,0,0,0,0,0
"Pizzaro, Dane",Special Teams,0,0,0,0,0,0,0,0,0
"Anderson, Jakob",Special Teams,0,0,0,0,0,0,0,0,0
"Scullion, Jack",Special Teams,0,0,0,0,0,0,0,0,0
"Elad, Jett",Defense,0,0,0,0,0,0,0,0,80
"Djabome, Dariel",Defense,0,0,0,0,0,0,0,0,71
"Sanders, Kaj",Defense,0,0,0,0,0,0,0,0,65
"Wright, Abram",Defense,0,0,0,0,0,0,0,0,58
"Mascoe, Bo",Defense,0,0,0,0,0,0,0,0,53
"Miller, Cam",Defense,0,0,0,0,0,0,0,0,47
"Henderson, Jacobie",Defense,0,0,0,0,0,0,0,0,42
"O'Neill, Eric",Defense,0,0,0,0,0,0,0,0,37
